Year,Continent,Country,ln_Visitors,ln_GDP (LCU),ln_GDP (USD'15),ln_Real Exchange Rate
2010,Oceania,Australia,12.327 ,28.200 ,27.797 ,-4.939 
2011,Oceania,Australia,11.999 ,28.200 ,27.821 ,-5.091 
2012,Oceania,Australia,12.238 ,28.200 ,27.859 ,-5.112 
2013,Oceania,Australia,12.407 ,28.300 ,27.885 ,-5.062 
2014,Oceania,Australia,12.620 ,28.300 ,27.911 ,-4.992 
2015,Oceania,Australia,12.838 ,28.300 ,27.932 ,-4.816 
2016,Oceania,Australia,13.007 ,28.300 ,27.960 ,-4.821 
2017,Oceania,Australia,13.112 ,28.400 ,27.983 ,-4.865 
2018,Oceania,Australia,13.222 ,28.400 ,28.011 ,-4.849 
2019,Oceania,Australia,13.340 ,28.400 ,28.033 ,-4.788 
2022,Oceania,Australia,11.392 ,28.500 ,28.092 ,-4.864 
2023,Oceania,Australia,13.326 ,28.500 ,28.122 ,-4.843 
2010,North America,Canada,11.940 ,28.200 ,27.967 ,-4.995 
2011,North America,Canada,11.526 ,28.200 ,27.998 ,-5.067 
2012,North America,Canada,11.816 ,28.300 ,28.016 ,-5.072 
2013,North America,Canada,11.937 ,28.300 ,28.039 ,-5.048 
2014,North America,Canada,12.117 ,28.300 ,28.067 ,-4.970 
2015,North America,Canada,12.352 ,28.300 ,28.073 ,-4.826 
2016,North America,Canada,12.518 ,28.300 ,28.084 ,-4.807 
2017,North America,Canada,12.630 ,28.400 ,28.114 ,-4.838 
2018,North America,Canada,12.709 ,28.400 ,28.141 ,-4.853 
2019,North America,Canada,12.835 ,28.400 ,28.160 ,-4.843 
2022,North America,Canada,10.931 ,28.400 ,28.197 ,-4.947 
2023,North America,Canada,12.962 ,28.500 ,28.208 ,-4.916 
2010,Asia,China,14.161 ,31.600 ,29.653 ,-3.113 
2011,Asia,China,13.858 ,31.700 ,29.744 ,-3.215 
2012,Asia,China,14.170 ,31.800 ,29.820 ,-3.266 
2013,Asia,China,14.089 ,31.800 ,29.895 ,-3.314 
2014,Asia,China,14.695 ,31.900 ,29.966 ,-3.304 
2015,Asia,China,15.424 ,32.000 ,30.034 ,-3.290 
2016,Asia,China,15.668 ,32.000 ,30.101 ,-3.256 
2017,Asia,China,15.811 ,32.100 ,30.168 ,-3.250 
2018,Asia,China,15.941 ,32.200 ,30.233 ,-3.281 
2019,Asia,China,16.077 ,32.200 ,30.291 ,-3.262 
2022,Asia,China,12.150 ,32.400 ,30.424 ,-3.319 
2023,Asia,China,14.701 ,32.400 ,30.474 ,-3.238 
2010,Europe,Denmark,9.589 ,28.300 ,26.372 ,-3.297 
